h1,h2,h3,color,weight,codes
中国,东部地带,北京,#77bc45,3.5394266,北京
中国,东部地带,天津,#77bc45,1.3794936,天津
中国,东部地带,河北,#77bc45,3.5501232,河北
中国,中部地带,山西,#4aaaea,1.9855264,山西
中国,西部地带,内蒙古,#f58321,1.80306,内蒙古
中国,东部地带,辽宁,#77bc45,2.4244566,辽宁
中国,中部地带,吉林,#4aaaea,1.1633113,吉林
中国,中部地带,黑龙江,#4aaaea,1.3077815,黑龙江
中国,东部地带,上海,#77bc45,3.7982987,上海
中国,东部地带,江苏,#77bc45,10.2276295,江苏
中国,东部地带,浙江,#77bc45,6.4615437,浙江
中国,中部地带,安徽,#4aaaea,3.7758244,安徽
中国,东部地带,福建,#77bc45,4.2901054,福建
中国,中部地带,江西,#4aaaea,2.6033721,江西
中国,东部地带,山东,#77bc45,7.30357,山东
中国,中部地带,河南,#4aaaea,5.1758059,河南
中国,中部地带,湖北,#4aaaea,4.3957971,湖北
中国,中部地带,湖南,#4aaaea,4.0486363,湖南
中国,东部地带,广东,#77bc45,10.931259,广东
中国,西部地带,广西,#f58321,2.1745585,广西
中国,东部地带,海南,#77bc45,0.5691265,海南
中国,西部地带,重庆,#f58321,2.4516947,重庆
中国,西部地带,四川,#f58321,4.7331226,四川
中国,西部地带,贵州,#f58321,1.7215127,贵州
中国,西部地带,云南,#f58321,2.3860209,云南
中国,西部地带,西藏,#f58321,0.1828356,西藏
中国,西部地带,陕西,#f58321,2.6193072,陕西
中国,西部地带,甘肃,#f58321,0.9003171,甘肃
中国,西部地带,青海,#f58321,0.2941436,青海
中国,西部地带,宁夏,#f58321,0.3974797,宁夏
中国,西部地带,新疆,#f58321,1.4048596,新疆
