»’∆⁄,AQI,÷ ¡øµ»º∂,PM2.5,PM10,∂˛—ıªØ¡Ú,“ª—ıªØÃº,∂˛—ıªØµ™,≥Ù—ı≈®∂»
2018/1/1,60,¡º,33,61,10,1.1,48,41
2018/1/2,49,”≈,27,49,7,0.9,35,50
2018/1/3,29,”≈,11,28,5,0.4,23,55
2018/1/4,44,”≈,15,29,5,0.5,35,42
2018/1/5,69,¡º,32,53,9,1,55,39
2018/1/6,52,¡º,16,29,6,0.6,41,53
2018/1/7,59,¡º,38,57,11,0.9,47,55
2018/1/8,55,¡º,12,60,4,0.3,12,66
2018/1/9,35,”≈,7,34,3,0.3,14,69
2018/1/10,35,”≈,6,20,3,0.3,10,69
2018/1/11,34,”≈,12,23,5,0.5,27,60
2018/1/12,94,¡º,59,79,12,1.4,75,23
2018/1/13,137,«·∂»Œ€»æ,104,120,16,1.8,86,18
2018/1/14,175,÷–∂»Œ€»æ,132,137,14,1.8,77,45
2018/1/15,64,¡º,32,57,9,1,51,46
2018/1/16,114,«·∂»Œ€»æ,45,178,6,0.8,46,60
2018/1/17,77,¡º,41,103,9,1.1,53,67
2018/1/18,101,«·∂»Œ€»æ,62,104,12,1.3,81,21
2018/1/19,107,«·∂»Œ€»æ,80,121,15,1.6,80,40
2018/1/20,65,¡º,31,75,9,0.9,52,35
2018/1/21,63,¡º,36,76,21,1.3,48,32
2018/1/22,46,”≈,22,46,5,0.7,28,71
2018/1/23,33,”≈,11,30,4,0.5,17,66
2018/1/24,39,”≈,17,31,6,0.5,31,71
2018/1/25,37,”≈,9,22,4,0.4,29,68
2018/1/26,58,¡º,27,39,8,0.7,46,45
2018/1/27,108,«·∂»Œ€»æ,81,92,15,1.5,74,16
2018/1/28,58,¡º,11,65,3,0.4,16,72
2018/1/29,55,¡º,8,60,4,0.4,21,73
2018/1/30,37,”≈,11,36,6,0.4,26,74
2018/1/31,62,¡º,22,73,7,0.5,32,71
2018/2/1,67,¡º,30,84,11,0.8,39,70
2018/2/2,37,”≈,8,29,5,0.4,12,74
2018/2/3,35,”≈,8,20,5,0.4,22,70
2018/2/4,44,”≈,19,35,9,0.6,35,60
2018/2/5,37,”≈,7,18,3,0.3,16,73
2018/2/6,70,¡º,46,60,14,0.9,56,47
